"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"293","2016-02-01 00:00:48","2016-02-01 00:05:41","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","657","Subscriber","1990","1"
"409","2016-02-01 00:17:38","2016-02-01 00:24:27","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","179","MIT Vassar St","42.355601213279265","-71.10394477844238","1294","Subscriber","1989","2"
"322","2016-02-01 00:21:00","2016-02-01 00:26:22","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","1239","Customer","1975","1"
"1443","2016-02-01 00:25:01","2016-02-01 00:49:05","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","723","Subscriber",\N,"0"
"336","2016-02-01 00:28:10","2016-02-01 00:33:47","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","1292","Subscriber","1990","1"
"99","2016-02-01 00:48:55","2016-02-01 00:50:35","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","909","Subscriber","1988","1"
"157","2016-02-01 00:49:30","2016-02-01 00:52:08","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1292","Subscriber","1987","1"
"743","2016-02-01 00:51:48","2016-02-01 01:04:12","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","898","Subscriber",\N,"0"
"213","2016-02-01 01:05:48","2016-02-01 01:09:21","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","1086","Subscriber","1995","1"
"333","2016-02-01 01:36:29","2016-02-01 01:42:02","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","1293","Subscriber","1986","1"
