tripduration.int32(),starttime.date(2006-01-02 15:04:05),stoptime.date(2006-01-02 15:04:05),start_station_id.string(),start_station_name.string(),start_station_latitude.auto(),start_station_longitude.auto(),end_station_id.string(),end_station_name.string(),end_station_latitude.auto(),end_station_longitude.auto(),bikeid.string(),usertype.string(),birth_year.auto(),gender.auto()
337,2015-03-01 13:01:50,2015-03-01 13:07:27,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,769,Subscriber,1988,2
579,2015-03-01 14:27:08,2015-03-01 14:36:47,141,Kendall Street,42.363560158429884,-71.08216792345047,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,1300,Customer,1979,1
423,2015-03-01 17:48:25,2015-03-01 17:55:29,141,Kendall Street,42.363560158429884,-71.08216792345047,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,1094,Subscriber,1986,2
507,2015-03-01 19:14:50,2015-03-01 19:23:17,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,800,Subscriber,1988,1
271,2015-03-01 19:17:03,2015-03-01 19:21:35,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,644,Customer,1983,1
519,2015-03-01 19:20:03,2015-03-01 19:28:42,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,857,Customer,1988,1
390,2015-03-01 19:22:06,2015-03-01 19:28:36,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1004,Subscriber,1985,1
348,2015-03-01 19:29:41,2015-03-01 19:35:30,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,800,Customer,1989,1
470,2015-03-01 19:44:46,2015-03-01 19:52:36,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,773,Subscriber,1989,1
271,2015-03-01 20:23:09,2015-03-01 20:27:40,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1105,Subscriber,1993,1
392,2015-03-01 20:54:38,2015-03-01 21:01:10,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1101,Subscriber,1994,1
418,2015-03-01 21:32:41,2015-03-01 21:39:39,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,1004,Subscriber,1985,1
1831,2015-03-02 00:21:07,2015-03-02 00:51:38,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,667,Subscriber,1964,1
596,2015-03-02 00:29:07,2015-03-02 00:39:04,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,709,Subscriber,1991,1
291,2015-03-02 00:50:31,2015-03-02 00:55:23,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,645,Subscriber,1986,1
435,2015-03-02 03:02:26,2015-03-02 03:09:41,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1277,Subscriber,1985,1
361,2015-03-02 06:07:27,2015-03-02 06:13:28,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,801,Customer,1990,1
716,2015-03-02 06:10:43,2015-03-02 06:22:40,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,796,Subscriber,1987,1
497,2015-03-02 07:03:29,2015-03-02 07:11:46,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,107,Ames St at Main St,42.3625,-71.08822,769,Subscriber,1988,2
701,2015-03-02 07:24:42,2015-03-02 07:36:23,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,796,Subscriber,1987,1
394,2015-03-02 07:26:24,2015-03-02 07:32:58,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,1277,Subscriber,1989,1
385,2015-03-02 07:28:26,2015-03-02 07:34:51,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,891,Subscriber,1988,2
314,2015-03-02 07:30:21,2015-03-02 07:35:36,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,706,Customer,1983,1
380,2015-03-02 07:43:17,2015-03-02 07:49:38,115,Porter Square Station,42.387995,-71.119084,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,744,Subscriber,1966,1
489,2015-03-02 07:45:22,2015-03-02 07:53:32,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1060,Subscriber,1977,1
508,2015-03-02 07:52:09,2015-03-02 08:00:38,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1076,Subscriber,1985,1
886,2015-03-02 07:52:51,2015-03-02 08:07:37,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1031,Subscriber,1982,2
609,2015-03-02 07:59:56,2015-03-02 08:10:05,143,EF - North Point Park,42.369885,-71.069957,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1095,Customer,1979,1
105,2015-03-02 07:59:59,2015-03-02 08:01:44,107,Ames St at Main St,42.3625,-71.08822,141,Kendall Street,42.363560158429884,-71.08216792345047,769,Customer,1973,1
401,2015-03-02 08:00:31,2015-03-02 08:07:13,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,117,Binney St / Sixth St,42.366095,-71.086388,796,Customer,1987,1
611,2015-03-02 08:08:00,2015-03-02 08:18:12,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,887,Subscriber,1969,1
233,2015-03-02 08:11:21,2015-03-02 08:15:15,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,661,Subscriber,1980,1
393,2015-03-02 08:14:43,2015-03-02 08:21:16,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1097,Customer,1978,1
243,2015-03-02 08:18:35,2015-03-02 08:22:39,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,659,Subscriber,1983,1
321,2015-03-02 08:20:57,2015-03-02 08:26:19,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,894,Subscriber,1981,1
942,2015-03-02 08:23:15,2015-03-02 08:38:57,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,141,Kendall Street,42.363560158429884,-71.08216792345047,878,Subscriber,1977,2
